player_id,stats_id,stats_value
3741,4,86
3741,5,4.4
3741,6,1637
3741,7,43526
3741,8,1.19
3741,9,0.8
3741,10,0.13
3741,11,0.67
3741,12,0.08
3741,13,0.1
3741,14,22258
3741,15,6195
3741,16,5049
3741,17,1.23
3741,18,1.18
3741,19,73.10%
3741,20,20.00%
3741,21,21268
3741,22,13294
3741,23,6231
3741,24,2146
3741,25,519
3741,26,68
3741,27,23581
3741,28,3296
3741,29,1138
3741,30,6308
3741,31,297
3741,32,89
3741,33,1.15
15165,1,18058
15165,2,14312
15165,3,39.20%
15165,4,85.6
15165,5,7.1
15165,6,884
15165,7,23631
15165,8,1.26
15165,9,0.76
15165,10,0.14
15165,11,0.61
15165,12,0.07
15165,13,0.09
15165,14,12024
15165,15,2857
15165,16,1995
15165,17,1.43
15165,18,1.13
15165,19,74.10%
15165,20,17.60%
15165,21,11607
15165,22,7531
15165,23,3222
15165,24,1024
15165,25,224
15165,26,23
15165,27,14032
15165,28,164
15165,29,827
15165,30,2661
15165,31,397
15165,32,64
15165,33,1.22
7131,1,20591
7131,2,16796
7131,3,39.80%
7131,4,83
7131,5,5.1
7131,6,1033
7131,7,26924
7131,8,1.23
7131,9,0.76
7131,10,0.14
7131,11,0.62
7131,12,0.1
7131,13,0.12
7131,14,13454
7131,15,2330
7131,16,1934
7131,17,1.2
7131,18,0.98
7131,19,75.70%
7131,20,12.20%
7131,21,13470
7131,22,8251
7131,23,3628
7131,24,1255
7131,25,281
7131,26,39
7131,27,15155
7131,28,728
7131,29,1169
7131,30,3259
7131,31,305
7131,32,45
7131,33,1.15
9216,1,28576
9216,2,22946
9216,3,49.40%
9216,4,79.2
9216,5,2.4
9216,6,1426
9216,7,37264
9216,8,1.25
9216,9,0.77
9216,10,0.11
9216,11,0.62
9216,12,0.08
9216,13,0.1
9216,14,19016
9216,15,3355
9216,16,2453
9216,17,1.37
9216,18,1.01
9216,19,74.90%
9216,20,12.50%
9216,21,18248
9216,22,11854
9216,23,5167
9216,24,1623
9216,25,341
9216,26,31
9216,27,17732
9216,28,3229
9216,29,2161
9216,30,5249
9216,31,205
9216,32,60
9216,33,1.15
9102,1,17188
9102,2,13437
9102,3,35.40%
9102,4,79.1
9102,5,6.9
9102,6,902
9102,7,22858
9102,8,1.28
9102,9,0.75
9102,10,0.14
9102,11,0.59
9102,12,0.09
9102,13,0.1
9102,14,11611
9102,15,2600
9102,16,1399
9102,17,1.86
9102,18,1.13
9102,19,80.90%
